Classifier,Accuracy,Precision,Recall,F1_Score
Decision Tree,0.8132557098074339,0.8084696823869105,0.7939508506616257,0.8011444921316166
Naive Bayes,0.7201074787281684,0.783748361730013,0.5652173913043478,0.656781987918726
KNN (K=7),0.8222122704881325,0.8282025819265144,0.7882797731568998,0.8077481840193704
